Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Score Penalties,Attendance,Round_ID,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
1930,13 Jul 1930 - 15:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico,0-0,4444,201,3,0,FRA,MEX
1930,13 Jul 1930 - 15:00,Group 4,Parque Central,Montevideo,USA,3,0,Belgium,0-0,18346,201,2,0,USA,BEL
1930,14 Jul 1930 - 12:45,Group 2,Parque Central,Montevideo,Yugoslavia,2,1,Brazil,0-0,24059,201,2,0,YUG,BRA
1930,14 Jul 1930 - 14:50,Group 3,Pocitos,Montevideo,Romania,3,1,Peru,0-0,2549,201,1,0,ROU,PER
1930,15 Jul 1930 - 16:00,Group 1,Parque Central,Montevideo,Argentina,1,0,France,0-0,23409,201,0,0,ARG,FRA
1930,16 Jul 1930 - 14:45,Group 1,Parque Central,Montevideo,Chile,3,0,Mexico,0-0,9249,201,1,0,CHI,MEX
1930,17 Jul 1930 - 12:45,Group 2,Parque Central,Montevideo,Yugoslavia,4,0,Bolivia,0-0,18306,201,0,0,YUG,BOL
1930,17 Jul 1930 - 14:45,Group 4,Parque Central,Montevideo,USA,3,0,Paraguay,0-0,18306,201,2,0,USA,PAR
1930,18 Jul 1930 - 14:30,Group 3,Estadio Centenario,Montevideo,Uruguay,1,0,Peru,0-0,57735,201,0,0,URU,PER
1930,19 Jul 1930 - 12:50,Group 1,Estadio Centenario,Montevideo,Chile,1,0,France,0-0,2000,201,0,0,CHI,FRA
1930,19 Jul 1930 - 15:00,Group 1,Estadio Centenario,Montevideo,Argentina,6,3,Mexico,0-0,42100,201,3,1,ARG,MEX
1930,20 Jul 1930 - 13:00,Group 2,Estadio Centenario,Montevideo,Brazil,4,0,Bolivia,0-0,25466,201,1,0,BRA,BOL
1930,20 Jul 1930 - 15:00,Group 4,Estadio Centenario,Montevideo,Paraguay,1,0,Belgium,0-0,12000,201,1,0,PAR,BEL
1930,21 Jul 1930 - 14:50,Group 3,Estadio Centenario,Montevideo,Uruguay,4,0,Romania,0-0,70022,201,4,0,URU,ROU
1930,22 Jul 1930 - 14:45,Group 1,Estadio Centenario,Montevideo,Argentina,3,1,Chile,0-0,41459,201,2,1,ARG,CHI
1930,26 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Montevideo,Argentina,6,1,USA,0-0,72886,201,1,0,ARG,USA
1930,27 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Montevideo,Uruguay,6,1,Yugoslavia,0-0,79867,201,3,1,URU,YUG
1930,30 Jul 1930 - 14:15,Final,Estadio Centenario,Montevideo,Uruguay,4,2,Argentina,0-0,68346,201,1,2,URU,ARG
1934,27 May 1934 - 16:30,Preliminary round,Stadio Benito Mussolini,Turin,Austria,3,2,France,0-0,16000,202,0,0,AUT,FRA
1934,27 May 1934 - 16:30,Preliminary round,Giorgio Ascarelli,Naples,Hungary,4,2,Egypt,0-0,9000,202,2,2,HUN,EGY
1934,27 May 1934 - 16:30,Preliminary round,San Siro,Milan,Switzerland,3,2,Netherlands,0-0,33000,202,2,1,SUI,NED
1934,27 May 1934 - 16:30,Preliminary round,Littorale,Bologna,Sweden,3,2,Argentina,0-0,14000,202,1,1,SWE,ARG
1934,27 May 1934 - 16:30,Preliminary round,Giovanni Berta,Florence,Germany,5,2,Belgium,0-0,8000,202,1,2,GER,BEL
1934,27 May 1934 - 16:30,Preliminary round,Luigi Ferraris,Genoa,Spain,3,1,Brazil,0-0,21000,202,3,0,ESP,BRA
1934,27 May 1934 - 16:30,Preliminary round,Nazionale PNF,Rome,Italy,7,1,USA,0-0,25000,202,3,0,ITA,USA
1934,27 May 1934 - 16:30,Preliminary round,Littorio,Trieste,Czechoslovakia,2,1,Romania,0-0,9000,202,0,1,TCH,ROU
1934,31 May 1934 - 16:30,Quarter-finals,Stadio Benito Mussolini,Turin,Czechoslovakia,3,2,Switzerland,0-0,12000,202,1,1,TCH,SUI
1934,31 May 1934 - 16:30,Quarter-finals,San Siro,Milan,Germany,2,1,Sweden,0-0,3000,202,0,0,GER,SWE
1934,31 May 1934 - 16:30,Quarter-finals,Giovanni Berta,Florence,Italy,1,1,Spain,0-0,35000,202,0,0,ITA,ESP
1934,31 May 1934 - 16:30,Quarter-finals,Littorale,Bologna,Austria,2,1,Hungary,0-0,23000,202,1,0,AUT,HUN
1934,01 Jun 1934 - 16:30,Quarter-finals,Giovanni Berta,Florence,Italy,1,0,Spain,0-0,43000,202,1,0,ITA,ESP
1934,03 Jun 1934 - 16:30,Semi-finals,San Siro,Milan,Italy,1,0,Austria,0-0,35000,202,1,0,ITA,AUT
1934,03 Jun 1934 - 16:30,Semi-finals,Nazionale PNF,Rome,Czechoslovakia,3,1,Germany,0-0,15000,202,1,0,TCH,GER
1934,07 Jun 1934 - 18:00,Match for third place,Giorgio Ascarelli,Naples,Germany,3,2,Austria,0-0,7000,202,3,1,GER,AUT
1934,10 Jun 1934 - 17:30,Final,Nazionale PNF,Rome,Italy,2,1,Czechoslovakia,0-0,55000,202,0,0,ITA,TCH
1938,04 Jun 1938 - 17:00,First round,Parc des Princes,Paris,Switzerland,1,1,Germany,0-0,27152,203,0,0,SUI,GER
1938,05 Jun 1938 - 17:00,First round,Velodrome Municipale,Reims,Hungary,6,0,Dutch East Indies,0-0,9000,203,4,0,HUN,INH
1938,05 Jun 1938 - 17:00,First round,Stade Olympique,Colombes,France,3,1,Belgium,0-0,30454,203,2,1,FRA,BEL
1938,05 Jun 1938 - 17:00,First round,Stade Municipal,Toulouse,Cuba,3,3,Romania,0-0,7000,203,0,0,CUB,ROU
1938,05 Jun 1938 - 17:00,First round,Stade V�lodrome,Marseilles,Italy,2,1,Norway,0-0,19000,203,0,0,ITA,NOR
1938,05 Jun 1938 - 17:30,First round,Stade de la Meinau,Strasbourg,Brazil,6,5,Poland,0-0,13452,203,0,0,BRA,POL
1938,05 Jun 1938 - 18:30,First round,Cavee Verte,Le Havre,Czechoslovakia,3,0,Netherlands,0-0,11000,203,0,0,TCH,NED
1938,09 Jun 1938 - 18:00,First round,Stade Municipal,Toulouse,Cuba,2,1,Romania,0-0,8000,203,0,1,CUB,ROU
1938,09 Jun 1938 - 18:00,First round,Parc des Princes,Paris,Switzerland,4,2,Germany,0-0,20025,203,1,2,SUI,GER
1938,12 Jun 1938 - 17:00,Quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,1,1,Czechoslovakia,0-0,22021,203,0,0,BRA,TCH
1938,12 Jun 1938 - 17:00,Quarter-finals,Victor Boucquey,Lille,Hungary,2,0,Switzerland,0-0,15000,203,1,0,HUN,SUI
1938,12 Jun 1938 - 17:00,Quarter-finals,Fort Carree,Antibes,Sweden,8,0,Cuba,0-0,7000,203,4,0,SWE,CUB
1938,12 Jun 1938 - 17:00,Quarter-finals,Stade Olympique,Colombes,Italy,3,1,France,0-0,58455,203,1,1,ITA,FRA
1938,14 Jun 1938 - 18:00,Quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,2,1,Czechoslovakia,0-0,18141,203,0,1,BRA,TCH
1938,16 Jun 1938 - 18:00,Semi-finals,Parc des Princes,Paris,Hungary,5,1,Sweden,0-0,20000,203,3,1,HUN,SWE
1938,16 Jun 1938 - 18:00,Semi-finals,Stade V�lodrome,Marseilles,Italy,2,1,Brazil,0-0,33000,203,0,0,ITA,BRA
1938,19 Jun 1938 - 17:00,Match for third place,Stade du Parc Lescure,Bordeaux,Brazil,4,2,Sweden,0-0,12000,203,1,2,BRA,SWE
1938,19 Jun 1938 - 17:00,Final,Stade Olympique,Colombes,Italy,4,2,Hungary,0-0,45000,203,3,1,ITA,HUN
1950,24 Jun 1950 - 15:00,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,4,0,Mexico,0-0,81649,204,1,0,BRA,MEX
1950,25 Jun 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,England,2,0,Chile,0-0,29703,204,1,0,ENG,CHI
1950,25 Jun 1950 - 15:00,Group 2,Durival de Brito,Curitiba,Spain,3,1,USA,0-0,9511,204,0,1,ESP,USA
1950,25 Jun 1950 - 15:00,Group 3,Pacaembu,Sao Paulo,Sweden,3,2,Italy,0-0,36502,204,2,1,SWE,ITA
1950,25 Jun 1950 - 15:00,Group 1,Independencia,Belo Horizonte,Yugoslavia,3,0,Switzerland,0-0,7336,204,0,0,YUG,SUI
1950,28 Jun 1950 - 15:00,Group 1,Pacaembu,Sao Paulo,Brazil,2,2,Switzerland,0-0,42032,204,2,1,BRA,SUI
1950,28 Jun 1950 - 15:00,Group 1,Eucaliptos,Porto Alegre,Yugoslavia,4,1,Mexico,0-0,11078,204,2,0,YUG,MEX
1950,29 Jun 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Spain,2,0,Chile,0-0,19790,204,2,0,ESP,CHI
1950,29 Jun 1950 - 15:30,Group 3,Durival de Brito,Curitiba,Sweden,2,2,Paraguay,0-0,7903,204,2,1,SWE,PAR
1950,29 Jun 1950 - 15:00,Group 2,Independencia,Belo Horizonte,USA,1,0,England,0-0,10151,204,1,0,USA,ENG
1950,01 Jul 1950 - 15:00,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,2,0,Yugoslavia,0-0,142429,204,1,0,BRA,YUG
1950,02 Jul 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Spain,1,0,England,0-0,74462,204,0,0,ESP,ENG
1950,02 Jul 1950 - 15:00,Group 3,Pacaembu,Sao Paulo,Italy,2,0,Paraguay,0-0,25811,204,1,0,ITA,PAR
1950,02 Jul 1950 - 15:00,Group 4,Independencia,Belo Horizonte,Uruguay,8,0,Bolivia,0-0,5284,204,4,0,URU,BOL
1950,02 Jul 1950 - 15:40,Group 1,Eucaliptos,Porto Alegre,Switzerland,2,1,Mexico,0-0,3580,204,2,0,SUI,MEX
1950,02 Jul 1950 - 15:00,Group 2,Ilha do Retiro,Recife,Chile,5,2,USA,0-0,8501,204,2,0,CHI,USA
1950,09 Jul 1950 - 15:00,Group 6,Pacaembu,Sao Paulo,Uruguay,2,2,Spain,0-0,44802,204,1,2,URU,ESP
1950,09 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,7,1,Sweden,0-0,138886,204,3,0,BRA,SWE
1950,13 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Brazil,6,1,Spain,0-0,152772,204,3,0,BRA,ESP
1950,13 Jul 1950 - 15:00,Group 6,Pacaembu,Sao Paulo,Uruguay,3,2,Sweden,0-0,7987,204,1,2,URU,SWE
1950,16 Jul 1950 - 15:00,Group 6,Pacaembu,Sao Paulo,Sweden,3,1,Spain,0-0,11227,204,2,0,SWE,ESP
1950,16 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,Uruguay,2,1,Brazil,0-0,173850,204,0,0,URU,BRA
1954,16 Jun 1954 - 18:00,Group 3,Wankdorf Stadium,Berne,Uruguay,2,0,Czechoslovakia,0-0,20500,205,0,0,URU,TCH
1954,16 Jun 1954 - 18:00,Group 3,Hardturm,Zurich,Austria,1,0,Scotland,0-0,25000,205,1,0,AUT,SCO
1954,16 Jun 1954 - 18:00,Group 1,Charmilles,Geneva,Brazil,5,0,Mexico,0-0,13470,205,4,0,BRA,MEX
1954,16 Jun 1954 - 18:00,Group 1,La Pontaise,Lausanne,Yugoslavia,1,0,France,0-0,16000,205,1,0,YUG,FRA
1954,17 Jun 1954 - 18:00,Group 2,Wankdorf Stadium,Berne,Germany FR,4,1,Turkey,0-0,28000,205,1,1,FRG,TUR
1954,17 Jun 1954 - 18:00,Group 2,Hardturm,Zurich,Hungary,9,0,Korea Republic,0-0,13000,205,4,0,HUN,KOR
1954,17 Jun 1954 - 18:10,Group 4,St. Jakob,Basel,England,4,4,Belgium,0-0,14000,205,0,0,ENG,BEL
1954,17 Jun 1954 - 17:50,Group 4,La Pontaise,Lausanne,Switzerland,2,1,Italy,0-0,43000,205,1,1,SUI,ITA
1954,19 Jun 1954 - 16:50,Group 3,St. Jakob,Basel,Uruguay,7,0,Scotland,0-0,34000,205,2,0,URU,SCO
1954,19 Jun 1954 - 17:00,Group 3,Hardturm,Zurich,Austria,5,0,Czechoslovakia,0-0,26000,205,4,0,AUT,TCH
1954,19 Jun 1954 - 17:10,Group 1,Charmilles,Geneva,France,3,2,Mexico,0-0,19000,205,1,0,FRA,MEX
1954,19 Jun 1954 - 17:00,Group 1,La Pontaise,Lausanne,Brazil,1,1,Yugoslavia,0-0,24637,205,0,0,BRA,YUG
1954,20 Jun 1954 - 16:50,Group 2,St. Jakob,Basel,Hungary,8,3,Germany FR,0-0,56000,205,3,1,HUN,FRG
1954,20 Jun 1954 - 17:00,Group 2,Charmilles,Geneva,Turkey,7,0,Korea Republic,0-0,4000,205,4,0,TUR,KOR
1954,20 Jun 1954 - 17:10,Group 4,Wankdorf Stadium,Berne,England,2,0,Switzerland,0-0,43500,205,1,0,ENG,SUI
1954,20 Jun 1954 - 17:00,Group 4,Comunale di Cornaredo,Lugano,Italy,4,1,Belgium,0-0,24000,205,1,0,ITA,BEL
1954,23 Jun 1954 - 18:00,Group 2,Hardturm,Zurich,Germany FR,7,2,Turkey,0-0,17000,205,3,1,FRG,TUR
1954,23 Jun 1954 - 18:00,Group 4,St. Jakob,Basel,Switzerland,4,1,Italy,0-0,30000,205,1,0,SUI,ITA
1954,26 Jun 1954 - 17:00,Quarter-finals,St. Jakob,Basel,Uruguay,4,2,England,0-0,28000,205,2,1,URU,ENG
1954,26 Jun 1954 - 17:00,Quarter-finals,La Pontaise,Lausanne,Austria,7,5,Switzerland,0-0,35000,205,5,4,AUT,SUI
1954,27 Jun 1954 - 17:00,Quarter-finals,Charmilles,Geneva,Germany FR,2,0,Yugoslavia,0-0,17000,205,1,0,FRG,YUG
1954,27 Jun 1954 - 17:00,Quarter-finals,Wankdorf Stadium,Berne,Hungary,4,2,Brazil,0-0,40000,205,2,1,HUN,BRA
1954,30 Jun 1954 - 18:00,Semi-finals,St. Jakob,Basel,Germany FR,6,1,Austria,0-0,58000,205,1,0,FRG,AUT
1954,30 Jun 1954 - 18:00,Semi-finals,La Pontaise,Lausanne,Hungary,4,2,Uruguay,0-0,45000,205,0,0,HUN,URU
1954,03 Jul 1954 - 17:00,Match for third place,Hardturm,Zurich,Austria,3,1,Uruguay,0-0,32000,205,1,1,AUT,URU
1954,04 Jul 1954 - 17:00,Final,Wankdorf Stadium,Berne,Germany FR,3,2,Hungary,0-0,62500,205,2,2,FRG,HUN
1958,08 Jun 1958 - 14:00,Group 3,Rasunda Stadium,Solna,Sweden,3,0,Mexico,0-0,34107,206,1,0,SWE,MEX
1958,08 Jun 1958 - 19:00,Group 4,Nya Ullevi,Gothenburg,Soviet Union,2,2,England,0-0,49348,206,1,0,URS,ENG
1958,08 Jun 1958 - 19:00,Group 1,Malmo Stadion,Malm�,Argentina,1,3,Germany FR,0-0,31156,206,1,2,ARG,FRG
1958,08 Jun 1958 - 19:00,Group 3,Jarnvallen,Sandviken,Hungary,1,1,Wales,0-0,15343,206,1,1,HUN,WAL
1958,08 Jun 1958 - 19:00,Group 2,Idrottsparken,Norrk�Ping,France,7,3,Paraguay,0-0,16518,206,2,2,FRA,PAR
1958,08 Jun 1958 - 19:00,Group 2,Arosvallen,Vasteras,Yugoslavia,1,1,Scotland,0-0,9591,206,1,0,YUG,SCO
1958,08 Jun 1958 - 19:00,Group 4,Rimnersvallen,Udevalla,Brazil,3,0,Austria,0-0,17788,206,1,0,BRA,AUT
1958,08 Jun 1958 - 19:00,Group 1,Orjans Vall,Halmstad,Northern Ireland,1,0,Czechoslovakia,0-0,10647,206,1,0,NIR,TCH
1958,11 Jun 1958 - 19:00,Group 4,Nya Ullevi,Gothenburg,Brazil,0,0,England,0-0,40895,206,0,0,BRA,ENG
1958,11 Jun 1958 - 19:00,Group 3,Rasunda Stadium,Solna,Mexico,1,1,Wales,0-0,15150,206,0,1,MEX,WAL
1958,11 Jun 1958 - 19:00,Group 2,Idrottsparken,Norrk�Ping,Paraguay,3,2,Scotland,0-0,11665,206,2,1,PAR,SCO
1958,11 Jun 1958 - 19:00,Group 2,Arosvallen,Vasteras,Yugoslavia,3,2,France,0-0,12217,206,1,1,YUG,FRA
1958,11 Jun 1958 - 19:00,Group 4,Ryavallen,Boras,Soviet Union,2,0,Austria,0-0,21239,206,1,0,URS,AUT
1958,11 Jun 1958 - 19:00,Group 1,Olympia Stadium,Helsingborg,Germany FR,2,2,Czechoslovakia,0-0,25000,206,0,2,FRG,TCH
1958,11 Jun 1958 - 19:00,Group 1,Orjans Vall,Halmstad,Argentina,3,1,Northern Ireland,0-0,14174,206,1,1,ARG,NIR
1958,12 Jun 1958 - 19:00,Group 3,Rasunda Stadium,Solna,Sweden,2,1,Hungary,0-0,38850,206,1,0,SWE,HUN
1958,15 Jun 1958 - 14:00,Group 3,Rasunda Stadium,Solna,Sweden,0,0,Wales,0-0,30287,206,0,0,SWE,WAL
1958,15 Jun 1958 - 19:00,Group 4,Nya Ullevi,Gothenburg,Brazil,2,0,Soviet Union,0-0,50928,206,1,0,BRA,URS
1958,15 Jun 1958 - 19:00,Group 1,Malmo Stadion,Malm�,Germany FR,2,2,Northern Ireland,0-0,21990,206,1,1,FRG,NIR
1958,15 Jun 1958 - 19:00,Group 3,Jarnvallen,Sandviken,Hungary,4,0,Mexico,0-0,13300,206,1,0,HUN,MEX
1958,15 Jun 1958 - 19:00,Group 2,Tunavallen,Eskilstuna,Paraguay,3,3,Yugoslavia,0-0,13103,206,1,2,PAR,YUG
1958,15 Jun 1958 - 19:00,Group 2,Eyravallen,Orebro,France,2,1,Scotland,0-0,13554,206,2,0,FRA,SCO
1958,15 Jun 1958 - 19:00,Group 4,Ryavallen,Boras,England,2,2,Austria,0-0,15872,206,0,1,ENG,AUT
1958,15 Jun 1958 - 19:00,Group 1,Olympia Stadium,Helsingborg,Czechoslovakia,6,1,Argentina,0-0,16418,206,3,0,TCH,ARG
1958,17 Jun 1958 - 19:00,Group 4,Nya Ullevi,Gothenburg,Soviet Union,1,0,England,0-0,23182,206,0,0,URS,ENG
1958,17 Jun 1958 - 19:00,Group 1,Malmo Stadion,Malm�,Northern Ireland,2,1,Czechoslovakia,0-0,6196,206,0,0,NIR,TCH
1958,17 Jun 1958 - 19:00,Group 3,Rasunda Stadium,Solna,Wales,2,1,Hungary,0-0,2823,206,0,1,WAL,HUN
1958,19 Jun 1958 - 19:00,Quarter-finals,Nya Ullevi,Gothenburg,Brazil,1,0,Wales,0-0,25923,206,0,0,BRA,WAL
1958,19 Jun 1958 - 19:00,Quarter-finals,Malmo Stadion,Malm�,Germany FR,1,0,Yugoslavia,0-0,20055,206,1,0,FRG,YUG
1958,19 Jun 1958 - 19:00,Quarter-finals,Rasunda Stadium,Solna,Sweden,2,0,Soviet Union,0-0,31900,206,0,0,SWE,URS
1958,19 Jun 1958 - 19:00,Quarter-finals,Idrottsparken,Norrk�Ping,France,4,0,Northern Ireland,0-0,11800,206,1,0,FRA,NIR
1958,24 Jun 1958 - 19:00,Semi-finals,Nya Ullevi,Gothenburg,Sweden,3,1,Germany FR,0-0,49471,206,1,1,SWE,FRG
1958,24 Jun 1958 - 19:00,Semi-finals,Rasunda Stadium,Solna,Brazil,5,2,France,0-0,27100,206,2,1,BRA,FRA
1958,28 Jun 1958 - 17:00,Match for third place,Nya Ullevi,Gothenburg,France,6,3,Germany FR,0-0,32483,206,3,1,FRA,FRG
1958,29 Jun 1958 - 15:00,Final,Rasunda Stadium,Solna,Brazil,5,2,Sweden,0-0,49737,206,2,1,BRA,SWE
1962,30 May 1962 - 15:00,Group 1,Carlos Dittborn,Arica,Uruguay,2,1,Colombia,0-0,7908,207,0,1,URU,COL
1962,30 May 1962 - 15:00,Group 3,Estadio Sausalito,Vina Del Mar,Brazil,2,0,Mexico,0-0,10484,207,0,0,BRA,MEX
1962,30 May 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Rancagua,Argentina,1,0,Bulgaria,0-0,7134,207,1,0,ARG,BUL
1962,30 May 1962 - 15:00,Group 2,Nacional,Santiago De Chile,Chile,3,1,Switzerland,0-0,65006,207,1,1,CHI,SUI
1962,31 May 1962 - 15:00,Group 1,Carlos Dittborn,Arica,Soviet Union,2,0,Yugoslavia,0-0,9622,207,0,0,URS,YUG
1962,31 May 1962 - 15:00,Group 3,Estadio Sausalito,Vina Del Mar,Czechoslovakia,1,0,Spain,0-0,12700,207,0,0,TCH,ESP
1962,31 May 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Rancagua,Hungary,2,1,England,0-0,7938,207,1,0,HUN,ENG
1962,31 May 1962 - 15:00,Group 2,Nacional,Santiago De Chile,Germany FR,0,0,Italy,0-0,65440,207,0,0,FRG,ITA
1962,02 Jun 1962 - 15:00,Group 1,Carlos Dittborn,Arica,Yugoslavia,3,1,Uruguay,0-0,8829,207,2,1,YUG,URU
1962,02 Jun 1962 - 15:00,Group 3,Estadio Sausalito,Vina Del Mar,Brazil,0,0,Czechoslovakia,0-0,14903,207,0,0,BRA,TCH
1962,02 Jun 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Rancagua,England,3,1,Argentina,0-0,9794,207,2,0,ENG,ARG
1962,02 Jun 1962 - 15:00,Group 2,Nacional,Santiago De Chile,Chile,2,0,Italy,0-0,66057,207,0,0,CHI,ITA
1962,03 Jun 1962 - 15:00,Group 1,Carlos Dittborn,Arica,Soviet Union,4,4,Colombia,0-0,8040,207,3,1,URS,COL
1962,03 Jun 1962 - 15:00,Group 3,Estadio Sausalito,Vina Del Mar,Spain,1,0,Mexico,0-0,11875,207,0,0,ESP,MEX
1962,03 Jun 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Rancagua,Hungary,6,1,Bulgaria,0-0,7442,207,4,0,HUN,BUL
1962,03 Jun 1962 - 15:00,Group 2,Nacional,Santiago De Chile,Germany FR,2,1,Switzerland,0-0,64922,207,1,0,FRG,SUI
1962,06 Jun 1962 - 15:00,Group 1,Carlos Dittborn,Arica,Soviet Union,2,1,Uruguay,0-0,9973,207,1,0,URS,URU
1962,06 Jun 1962 - 15:00,Group 3,Estadio Sausalito,Vina Del Mar,Brazil,2,1,Spain,0-0,18715,207,0,1,BRA,ESP
1962,06 Jun 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Rancagua,Hungary,0,0,Argentina,0-0,7945,207,0,0,HUN,ARG
1962,06 Jun 1962 - 15:00,Group 2,Nacional,Santiago De Chile,Germany FR,2,0,Chile,0-0,67224,207,1,0,FRG,CHI
1962,07 Jun 1962 - 15:00,Group 1,Carlos Dittborn,Arica,Yugoslavia,5,0,Colombia,0-0,7167,207,2,0,YUG,COL
1962,07 Jun 1962 - 15:00,Group 3,Estadio Sausalito,Vina Del Mar,Mexico,3,1,Czechoslovakia,0-0,10648,207,2,1,MEX,TCH
1962,07 Jun 1962 - 15:00,Group 4,Estadio El Teniente-Codelco,Rancagua,England,0,0,Bulgaria,0-0,5700,207,0,0,ENG,BUL
1962,07 Jun 1962 - 15:00,Group 2,Nacional,Santiago De Chile,Italy,3,0,Switzerland,0-0,59828,207,1,0,ITA,SUI
1962,10 Jun 1962 - 14:30,Quarter-finals,Carlos Dittborn,Arica,Chile,2,1,Soviet Union,0-0,17268,207,2,1,CHI,URS
1962,10 Jun 1962 - 14:30,Quarter-finals,Estadio Sausalito,Vina Del Mar,Brazil,3,1,England,0-0,17736,207,1,1,BRA,ENG
1962,10 Jun 1962 - 14:30,Quarter-finals,Estadio El Teniente-Codelco,Rancagua,Czechoslovakia,1,0,Hungary,0-0,11690,207,1,0,TCH,HUN
1962,10 Jun 1962 - 14:30,Quarter-finals,Nacional,Santiago De Chile,Yugoslavia,1,0,Germany FR,0-0,63324,207,0,0,YUG,FRG
1962,13 Jun 1962 - 14:30,Semi-finals,Estadio Sausalito,Vina Del Mar,Czechoslovakia,3,1,Yugoslavia,0-0,5890,207,0,0,TCH,YUG
1962,13 Jun 1962 - 14:30,Semi-finals,Nacional,Santiago De Chile,Brazil,4,2,Chile,0-0,76594,207,2,1,BRA,CHI
1962,16 Jun 1962 - 14:30,Match for third place,Nacional,Santiago De Chile,Chile,1,0,Yugoslavia,0-0,66697,207,0,0,CHI,YUG
1962,17 Jun 1962 - 14:30,Final,Nacional,Santiago De Chile,Brazil,3,1,Czechoslovakia,0-0,68679,207,1,1,BRA,TCH
1966,11 Jul 1966 - 19:30,Group 1,Wembley Stadium,London,England,0,0,Uruguay,0-0,87148,208,0,0,ENG,URU
1966,12 Jul 1966 - 19:30,Group 2,Hillsborough,Sheffield,Germany FR,5,0,Switzerland,0-0,36127,208,3,0,FRG,SUI
1966,12 Jul 1966 - 19:30,Group 3,Goodison Park,Liverpool,Brazil,2,0,Bulgaria,0-0,47308,208,1,0,BRA,BUL
1966,12 Jul 1966 - 19:30,Group 4,Ayresome Park,Middlesbrough,Soviet Union,3,0,Korea DPR,0-0,23006,208,2,0,URS,PRK
1966,13 Jul 1966 - 19:30,Group 1,Wembley Stadium,London,France,1,1,Mexico,0-0,69237,208,0,0,FRA,MEX
1966,13 Jul 1966 - 19:30,Group 3,Old Trafford Stadium,Manchester,Portugal,3,1,Hungary,0-0,29886,208,1,0,POR,HUN
1966,13 Jul 1966 - 19:30,Group 2,Villa Park,Birmingham,Argentina,2,1,Spain,0-0,42738,208,0,0,ARG,ESP
1966,13 Jul 1966 - 19:30,Group 4,Roker Park Ground,Sunderland,Italy,2,0,Chile,0-0,27199,208,1,0,ITA,CHI
1966,15 Jul 1966 - 19:30,Group 1,White City,London,Uruguay,2,1,France,0-0,45662,208,2,1,URU,FRA
1966,15 Jul 1966 - 19:30,Group 2,Hillsborough,Sheffield,Spain,2,1,Switzerland,0-0,32028,208,0,1,ESP,SUI
1966,15 Jul 1966 - 19:30,Group 3,Goodison Park,Liverpool,Hungary,3,1,Brazil,0-0,51387,208,1,1,HUN,BRA
1966,15 Jul 1966 - 19:30,Group 4,Ayresome Park,Middlesbrough,Korea DPR,1,1,Chile,0-0,13792,208,0,1,PRK,CHI
1966,16 Jul 1966 - 15:00,Group 3,Old Trafford Stadium,Manchester,Portugal,3,0,Bulgaria,0-0,25438,208,2,0,POR,BUL
1966,16 Jul 1966 - 15:00,Group 2,Villa Park,Birmingham,Germany FR,0,0,Argentina,0-0,46587,208,0,0,FRG,ARG
1966,16 Jul 1966 - 15:00,Group 4,Roker Park Ground,Sunderland,Soviet Union,1,0,Italy,0-0,27793,208,0,0,URS,ITA
1966,16 Jul 1966 - 19:30,Group 1,Wembley Stadium,London,England,2,0,Mexico,0-0,92570,208,1,0,ENG,MEX
1966,19 Jul 1966 - 16:30,Group 1,Wembley Stadium,London,Uruguay,0,0,Mexico,0-0,61112,208,0,0,URU,MEX
1966,19 Jul 1966 - 19:30,Group 2,Hillsborough,Sheffield,Argentina,2,0,Switzerland,0-0,32127,208,0,0,ARG,SUI
1966,19 Jul 1966 - 19:30,Group 3,Goodison Park,Liverpool,Portugal,3,1,Brazil,0-0,58479,208,2,0,POR,BRA
1966,19 Jul 1966 - 19:30,Group 4,Ayresome Park,Middlesbrough,Korea DPR,1,0,Italy,0-0,17829,208,1,0,PRK,ITA
1966,20 Jul 1966 - 19:30,Group 1,Wembley Stadium,London,England,2,0,France,0-0,98270,208,1,0,ENG,FRA
